ALA	A	129	Alanine
ARG	R	274	Arginine
ASN	N	195	Asparagine
ASP	D	193	Aspartate
CYS	C	167	Cysteine
GLN	Q	223	Glutamate
GLU	E	225	Glutamine
GLY	G	104	Glycine
HIS	H	224	Histidine
ILE	I	197	Isoleucine
LEU	L	201	Leucine
LYS	K	236	Lysine
MET	M	224	Methionine
PHE	F	240	Phenylalanine
PRO	P	159	Proline
SER	S	155	Serine
THR	T	172	Threonine
TRP	W	285	Tryptophan
TYR	Y	263	Tyrosine
VAL	V	174	Valine
SEC	U	247	Selenocysteine
PYL	O	376	Pyrrolysine
